;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
5;Nordrhein-Westfalen;Insgesamt;17571856;17604159;17637325;17655840;17674519;17688326;17701973;17710422;17718250;17725497;17731914;17737317;17735979;17732508;17726981;17719133;17708908;17691318;17671286;17649345;17626355;17602242;17582139;17561627;17540064;17516647;17491068
51;  Düsseldorf, Regierungsbezirk;Insgesamt;5088748;5099689;5111072;5118268;5125689;5131499;5137419;5141881;5146207;5150348;5154269;5157835;5159437;5160249;5160438;5159858;5158538;5155025;5150731;5145937;5140820;5135456;5131095;5126670;5122051;5116943;5111357
5111;    Düsseldorf, krfr. Stadt;Insgesamt;598686;604396;610137;614973;619822;624322;628804;632911;636944;640869;644684;648366;651568;654576;657371;659957;662325;664168;665813;667323;668732;670048;671541;672992;674390;675719;676966
5112;    Duisburg, krfr. Stadt;Insgesamt;486855;486766;486721;486187;485683;484962;484265;483418;482578;481734;480908;480069;479070;478024;476988;475924;474854;473593;472320;471057;469797;468558;467431;466327;465237;464118;462988
5113;    Essen, krfr. Stadt;Insgesamt;569884;571837;573826;575365;576929;578338;579753;580994;582209;583409;584577;585710;586590;587352;588034;588616;589105;589355;589501;589590;589645;589674;589819;589967;590081;590143;590163
5114;    Krefeld, krfr. Stadt;Insgesamt;222058;222362;222696;222787;222898;222900;222904;222816;222733;222620;222503;222379;222162;221913;221637;221342;221032;220609;220159;219693;219242;218766;218351;217951;217552;217136;216714
5116;    Mönchengladbach, krfr. Stadt;Insgesamt;255430;255833;256266;256500;256728;256873;257018;257100;257144;257203;257213;257219;257125;256976;256813;256607;256372;256038;255661;255279;254883;254471;254111;253742;253363;252958;252529
5117;    Mülheim an der Ruhr, krfr. Stadt;Insgesamt;166640;166488;166371;166181;166003;165828;165657;165475;165282;165096;164918;164739;164526;164287;164034;163774;163480;163156;162814;162471;162113;161763;161452;161142;160832;160516;160199
5119;    Oberhausen, krfr. Stadt;Insgesamt;209097;208985;208868;208626;208399;208122;207835;207523;207212;206901;206591;206282;205921;205530;205135;204715;204291;203773;203251;202699;202133;201568;201017;200472;199924;199349;198747
5120;    Remscheid, krfr. Stadt;Insgesamt;108955;108370;107804;107208;106639;106081;105529;104979;104435;103913;103392;102855;102326;101782;101236;100697;100142;99583;99016;98458;97926;97386;96904;96424;95951;95480;95010
5122;    Solingen, krfr. Stadt;Insgesamt;155768;156182;156600;156903;157215;157476;157750;157975;158206;158430;158646;158848;159003;159136;159261;159374;159462;159495;159522;159537;159536;159532;159558;159587;159611;159627;159638
5124;    Wuppertal, krfr. Stadt;Insgesamt;343488;344421;345381;345962;346568;347007;347449;347770;348064;348351;348603;348833;348883;348892;348847;348764;348630;348331;347993;347638;347273;346904;346639;346373;346129;345871;345589
5154;    Kleve, Kreis;Insgesamt;302698;304223;305730;306830;307920;308802;309677;310427;311153;311846;312529;313164;313623;314042;314400;314701;314938;314975;314956;314864;314719;314516;314312;314073;313769;313404;312971
5158;    Mettmann, Kreis;Insgesamt;476633;476549;476546;476317;476131;475880;475664;475368;475078;474785;474512;474226;473831;473397;472930;472399;471844;471177;470453;469705;468953;468227;467617;467052;466504;465958;465400
5162;    Rhein-Kreis Neuss;Insgesamt;440602;442314;444066;445570;447073;448488;449905;451222;452542;453831;455090;456326;457418;458443;459427;460319;461130;461789;462348;462864;463326;463748;464228;464682;465081;465412;465672
5166;    Viersen, Kreis;Insgesamt;294921;294772;294664;294384;294110;293787;293485;293135;292804;292481;292173;291871;291501;291123;290715;290273;289808;289255;288660;288021;287362;286697;286055;285395;284730;284016;283260
5170;    Wesel, Kreis;Insgesamt;457033;456191;455396;454475;453571;452633;451724;450768;449823;448879;447930;446948;445890;444776;443610;442396;441125;439728;438264;436738;435180;433598;432060;430491;428897;427236;425511
53;  Köln, Regierungsbezirk;Insgesamt;4333015;4355766;4378469;4397210;4415733;4432986;4449936;4465249;4480182;4494720;4508828;4522449;4534187;4545216;4555488;4564955;4573662;4580240;4585966;4591020;4595621;4599738;4604904;4609815;4614348;4618321;4621692
5313;    Aachen, krfr. Stadt;Insgesamt;241683;243677;245506;246842;248085;249097;249961;250565;251041;251401;251681;251891;251890;251827;251706;251548;251364;251030;250684;250358;250050;249760;249616;249498;249386;249298;249202
5314;    Bonn, krfr. Stadt;Insgesamt;311287;314338;317330;319749;322148;324362;326539;328486;330367;332186;333933;335615;337045;338384;339630;340786;341870;342674;343391;344072;344703;345292;346062;346811;347541;348230;348895
5315;    Köln, krfr. Stadt;Insgesamt;1034175;1046294;1058389;1069258;1080052;1090459;1100748;1110473;1120023;1129335;1138407;1147193;1155264;1162972;1170315;1177269;1183889;1189764;1195296;1200540;1205582;1210404;1215485;1220428;1225225;1229847;1234284
5316;    Leverkusen, krfr. Stadt;Insgesamt;160819;161713;162620;163396;164145;164849;165534;166156;166757;167352;167918;168461;168934;169393;169797;170206;170573;170883;171167;171438;171721;171999;172323;172649;172966;173277;173569
5334;    Städteregion Aachen (einschl. Stadt Aachen);Insgesamt;545067;547391;549548;551080;552509;553649;554665;555374;555956;556439;556849;557188;557254;557251;557178;557037;556844;556423;555946;555433;554922;554384;554006;553626;553226;552787;552301
5354;    Aachen, Kreis;Insgesamt;303384;303714;304042;304238;304424;304552;304704;304809;304915;305038;305168;305297;305364;305424;305472;305489;305480;305393;305262;305075;304872;304624;304390;304128;303840;303489;303099
5358;    Düren, Kreis;Insgesamt;258385;258482;258614;258591;258573;258529;258479;258387;258299;258231;258166;258103;257996;257856;257721;257560;257370;257095;256788;256438;256056;255644;255250;254829;254379;253884;253354
5362;    Rhein-Erft-Kreis;Insgesamt;456602;459087;461589;463659;465718;467616;469497;471217;472949;474669;476370;478053;479561;481038;482482;483871;485185;486280;487296;488241;489138;489963;490843;491696;492492;493222;493879
5366;    Euskirchen, Kreis;Insgesamt;187437;187369;187331;187212;187109;186998;186907;186802;186696;186614;186542;186458;186357;186236;186102;185942;185776;185545;185298;185018;184722;184411;184130;183846;183537;183193;182828
5370;    Heinsberg, Kreis;Insgesamt;248233;248602;248984;249181;249365;249470;249571;249623;249669;249711;249759;249789;249751;249699;249620;249495;249349;249086;248776;248428;248039;247622;247218;246787;246317;245794;245228
5374;    Oberbergischer Kreis;Insgesamt;270290;269482;268678;267769;266846;265892;264935;263944;262947;261952;260951;259958;258910;257861;256811;255739;254660;253526;252377;251215;250047;248909;247822;246754;245676;244593;243491
5378;    Rheinisch-Bergischer Kreis;Insgesamt;278440;278503;278621;278633;278678;278703;278734;278755;278788;278823;278879;278958;279004;279050;279075;279099;279105;279053;278974;278887;278779;278672;278636;278610;278598;278567;278511
5382;    Rhein-Sieg-Kreis;Insgesamt;582280;584505;586765;588682;590590;592459;594327;596032;597731;599408;601054;602673;604111;605476;606757;607951;609041;609911;610657;611310;611912;612438;613129;613779;614391;614927;615352
55;  Münster, Regierungsbezirk;Insgesamt;2574148;2576700;2579257;2579560;2579827;2579271;2578681;2577311;2575916;2574522;2573072;2571611;2569195;2566694;2563992;2561115;2557952;2553822;2549365;2544661;2539801;2534720;2530110;2525409;2520438;2515160;2509426
5512;    Bottrop, krfr. Stadt;Insgesamt;116055;115683;115324;114933;114564;114195;113839;113478;113114;112760;112414;112074;111704;111329;110958;110586;110188;109779;109359;108926;108501;108066;107635;107207;106776;106344;105875
5513;    Gelsenkirchen, krfr. Stadt;Insgesamt;257850;257812;257800;257590;257394;257117;256869;256555;256249;255979;255704;255435;255091;254735;254348;253967;253551;253056;252532;251989;251428;250865;250336;249807;249253;248680;248100
5515;    Münster, krfr. Stadt;Insgesamt;299708;303556;307207;310428;313535;316466;319252;321797;324212;326500;328675;330742;332588;334348;335984;337518;338958;340187;341332;342406;343429;344397;345470;346515;347523;348468;349353
5554;    Borken, Kreis;Insgesamt;364271;364479;364693;364052;363473;362431;361473;360278;359179;358145;357156;356223;354997;353833;352714;351647;350613;349373;348158;346982;345843;344747;343734;342769;341792;340811;339809
5558;    Coesfeld, Kreis;Insgesamt;215282;215292;215325;215238;215149;215024;214893;214718;214565;214408;214274;214156;214010;213855;213695;213503;213284;212979;212625;212233;211805;211324;210870;210373;209840;209258;208616
5562;    Recklinghausen, Kreis;Insgesamt;613878;612139;610498;608666;606871;605072;603309;601516;599763;598032;596320;594623;592825;591009;589176;587306;585374;583312;581187;578998;576769;574490;572283;570049;567757;565420;562995
5566;    Steinfurt, Kreis;Insgesamt;434481;434971;435464;435734;435961;436212;436426;436547;436635;436705;436748;436779;436686;436569;436409;436206;435944;435552;435082;434564;434002;433381;432876;432330;431709;431010;430199
5570;    Warendorf, Kreis;Insgesamt;272623;272768;272946;272919;272880;272754;272620;272422;272199;271993;271781;271579;271294;271016;270708;270382;270040;269584;269090;268563;268024;267450;266906;266359;265788;265169;264479
57;  Detmold, Regierungsbezirk;Insgesamt;2024392;2024804;2025313;2024481;2023674;2022664;2021584;2020015;2018318;2016496;2014538;2012450;2009661;2006593;2003281;1999624;1995657;1990927;1985902;1980591;1975187;1969637;1964719;1959738;1954618;1949221;1943496
5711;    Bielefeld, krfr. Stadt;Insgesamt;328864;329853;330866;331665;332490;333293;334083;334784;335452;336081;336660;337201;337587;337888;338117;338265;338326;338250;338104;337912;337694;337450;337318;337193;337048;336850;336623
5754;    Gütersloh, Kreis;Insgesamt;352334;354006;355649;356816;357929;358816;359668;360344;360974;361583;362166;362700;363043;363345;363581;363750;363859;363746;363557;363308;363034;362723;362473;362209;361909;361542;361115
5758;    Herford, Kreis;Insgesamt;248988;248452;247938;247346;246758;246164;245585;244955;244332;243690;243044;242389;241696;240970;240242;239478;238696;237848;236967;236070;235167;234263;233431;232599;231752;230887;229975
5762;    Höxter, Kreis;Insgesamt;142788;141934;141116;140192;139292;138411;137532;136638;135749;134857;133987;133120;132216;131322;130434;129552;128667;127744;126834;125912;125002;124090;123255;122435;121590;120746;119884
5766;    Lippe, Kreis;Insgesamt;345374;344149;342961;341663;340386;339147;337915;336656;335399;334145;332873;331628;330321;328983;327631;326241;324817;323309;321766;320178;318613;317026;315579;314138;312703;311231;309720
5770;    Minden-Lübbecke, Kreis;Insgesamt;309356;308536;307738;306819;305908;305062;304201;303317;302409;301505;300598;299690;298693;297676;296621;295522;294385;293164;291924;290648;289364;288071;286906;285723;284545;283321;282040
5774;    Paderborn, Kreis;Insgesamt;296688;297874;299045;299980;300911;301771;302600;303321;304003;304635;305210;305722;306105;306409;306655;306816;306907;306866;306750;306563;306313;306014;305757;305441;305071;304644;304139
59;  Arnsberg, Regierungsbezirk;Insgesamt;3551553;3547200;3543214;3536321;3529596;3521906;3514353;3505966;3497627;3489411;3481207;3472972;3463499;3453756;3443782;3433581;3423099;3411304;3399322;3387136;3374926;3362691;3351311;3339995;3328609;3317002;3305097
5911;    Bochum, krfr. Stadt;Insgesamt;361734;361649;361564;361224;360883;360482;360066;359588;359103;358626;358135;357620;356998;356329;355630;354900;354143;353256;352339;351408;350487;349564;348733;347912;347090;346253;345390
5913;    Dortmund, krfr. Stadt;Insgesamt;575944;579631;583204;585958;588621;590884;593041;594876;596612;598246;599785;601232;602304;603224;604022;604689;605234;605420;605519;605534;605493;605415;605430;605426;605396;605308;605141
5914;    Hagen, krfr. Stadt;Insgesamt;185996;185496;185025;184435;183840;183200;182573;181906;181226;180570;179897;179237;178528;177805;177079;176339;175594;174797;174006;173206;172397;171615;170878;170156;169443;168727;168006
5915;    Hamm, krfr. Stadt;Insgesamt;176048;176468;176891;177155;177410;177595;177771;177892;178005;178105;178202;178275;178276;178243;178189;178109;177990;177784;177556;177300;177023;176733;176461;176174;175882;175555;175202
5916;    Herne, krfr. Stadt;Insgesamt;154417;154418;154438;154326;154223;154067;153911;153716;153524;153348;153162;152985;152755;152526;152287;152048;151780;151476;151173;150846;150527;150198;149892;149588;149273;148951;148620
5954;    Ennepe-Ruhr-Kreis;Insgesamt;322731;321691;320726;319711;318715;317758;316837;315911;315012;314126;313256;312399;311500;310579;309636;308669;307688;306634;305563;304467;303366;302259;301231;300187;299154;298079;296992
