GENESIS-Tabelle: 12411-01i
Bevölkerungsstand - Gemeinden - Stichtag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand;Bevölkerungsstand
;;31.12.2010;31.12.2009;31.12.2008;31.12.2007;31.12.2006;31.12.2005;31.12.2004;31.12.2003;31.12.2002;31.12.2001;31.12.2000;31.12.1999;31.12.1998;31.12.1997;31.12.1996;31.12.1995;31.12.1994;31.12.1993;31.12.1992;31.12.1991;31.12.1990;31.12.1989;31.12.1988;31.12.1987;31.12.1986;31.12.1985;31.12.1984;31.12.1983;31.12.1982;31.12.1981;31.12.1980;31.12.1979;31.12.1978;31.12.1977;31.12.1976;31.12.1975;31.12.1974;31.12.1973;31.12.1972;31.12.1971;31.12.1970;31.12.1969;31.12.1968;31.12.1967;31.12.1966;31.12.1965;31.12.1964;31.12.1963;31.12.1962
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
05;Nordrhein-Westfalen;17845154;17872763;17933064;17996621;18028745;18058105;18075352;18079686;18076355;18052092;18009865;17999800;17975516;17974487;17947715;17893045;17816079;17759300;17679166;17509866;17349651;17103588;16874059;16743956;16676663;16674001;16703662;16836142;16960588;17045323;17057488;17017644;17005496;17029358;17072130;17129200;17218624;17247006;17197681;17146070;17033651;16894096;16745322;16666871;16689160;16619450;16466916;16303144;16177347
051;  Düsseldorf, Regierungsbezirk;5161782;5172839;5191042;5208288;5217129;5226648;5237855;5245132;5249280;5255328;5254317;5264468;5269171;5284861;5290935;5290584;5287352;5289014;5293265;5253152;5220466;5167716;5108646;5074987;5034969;5040913;5057672;5113064;5161061;5196918;5209419;5209786;5222785;5247092;5276277;5313920;5360900;5385571;5393268;5405900;5390610;5354987;5318298;5304730;5333603;5333578;5301416;5266068;5238856
05111;    Düsseldorf, krfr. Stadt;588735;586217;584217;581122;577505;574514;572663;572511;571886;570765;569364;568855;568440;570969;571475;571030;572638;574936;578135;577561;575794;574022;569641;565545;560641;561726;565861;575807;583446;588809;590484;594772;600060;607565;615499;627004;638716;648084;656265;669269;679435;681227;685368;692107;701535;704917;707366;711763;715219
05112;    Duisburg, krfr. Stadt;489559;491931;494048;496665;499111;501564;504403;506496;508664;512030;514915;519793;523311;529062;532701;535250;536106;536797;539094;537441;535447;532152;527447;524502;514640;518277;522842;536408;546570;554381;558094;559069;563092;572106;581979;591639;599799;605014;611517;617518;620561;623430;627958;634290;646169;655646;658050;660201;664058
05113;    Essen, krfr. Stadt;574635;576259;579759;582140;583198;585430;588084;589499;585481;591889;595243;599515;603194;608732;611827;614861;617955;622380;627269;626989;626973;624445;620594;621436;615423;619993;625706;631609;638812;643641;647645;652503;658360;664413;670225;677570;684147;692648;700353;708685;713235;716755;719537;725539;736967;745846;749731;750980;752554
05114;    Krefeld, krfr. Stadt;235076;235414;236333;236516;237104;237701;238270;238565;239183;239559;239916;241769;243499;245606;247772;249606;249662;249565;248413;245772;244020;240208;235423;232938;216721;216944;217355;221137;223170;224471;223992;222762;223515;224543;226064;228563;231724;233786;234250;235436;235806;235726;234541;233385;233612;232710;230699;229400;229256
05116;    Mönchengladbach, krfr. Stadt;257993;258251;258848;260018;260951;261444;261966;262391;263104;262963;263014;263697;264662;266505;266873;266702;266073;265312;265069;262581;259436;255905;252910;250425;255103;254503;255093;257650;258566;258624;258430;258006;258043;258860;260082;261373;263356;265046;266627;266182;264423;263146;262251;262006;263521;263706;262200;260900;260218
05117;    Mülheim an der Ruhr, krfr. Stadt;167344;167471;168288;168925;169414;169917;170327;170745;172171;172332;172862;173895;174514;175507;176000;176530;176513;177175;176962;177042;177681;176149;175454;175592;170404;171967;173210;175903;177923;179339;181280;182466;184167;185890;187680;189262;190689;191537;192509;193548;192788;191357;190227;189679;190597;191769;192364;191089;190476
